,PR,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,IEI,index_tool,ID,index,NP,DIVISION,SPLIT,MESH,variable,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
0,8,0.498351,0.723601,0.755052,1.40671,0.745706,0.862917,0.676484,0,Albacete.txt,0,Albacete.txt,13784,0.998146,539.338537,29764.11375,Albacete_class.shp,0.44501767,6.865099536,12.01865817,28.68764933,0.698910129,0.55346804,16.78948082,33.94171631
1,8,0.495263,0.76967,0.746116,1.370878,0.771443,0.852704,0.659253,0,Alcala.txt,1,Alcala.txt,11838,0.997178,354.3015,45591.23029,Alcala_class.shp,1.557488817,11.25917132,19.28088326,41.83691969,0.823272898,1.896483842,13.99431428,9.351465887
2,8,0.495263,0.76967,0.746116,1.370878,0.771443,0.852704,0.659253,0,Alcobendas.txt,2,Alcobendas.txt,4791,0.997228,360.738228,38438.57433,Alcobendas_class.shp,0.7796493,10.60864754,16.11861917,12.71888838,0.426557736,4.777436623,14.14253776,40.4276635
3,8,1.016461,0.714969,0.757634,1.417307,0.751111,0.865868,0.681581,0,Alcorcon.txt,3,Alcorcon.txt,4882,0.996158,260.312025,30234.66906,Alcorcon_class.shp,1.917221812,6.864289345,33.29560565,25.02186498,0.369680718,0.344602126,23.83687954,8.349855836
4,8,0.752361,1.209382,0.625019,0.98088,0.626374,0.714308,0.471704,0,Algeciras.txt,4,Algeciras.txt,16798,0.997527,404.331644,26298.18949,Algeciras.shp,1.155168688,2.049920947,13.42054536,14.52477325,0.86434838,0.355067089,10.73480668,56.89536961
5,8,0.302543,0.75845,0.742545,1.356912,0.741693,0.848623,0.652537,0,Alicante.txt,5,Alicante.txt,19828,0.998949,951.527179,27789.56859,Alicante_class.shp,1.158215963,3.049092686,11.65871786,17.6506232,2.372703335,0.42090185,25.42464328,38.26510183
6,8,0.655187,0.713636,0.759126,1.42348,0.76275,0.867572,0.684549,0,Almeria.txt,6,Almeria.txt,25927,0.997396,384.069792,31791.76342,Almeria_class.shp,1.19786496,6.426123798,21.57405394,9.32361881,1.115114248,0.829088532,25.31985637,34.21427934
7,9,0.74792,7.1286,0.216069,0.243434,0.236178,0.243077,0.110792,0,Avila.txt,7,Avila.txt,8491,0.993461,152.927163,78686.93932,Avila_class.shp,0.305077868,1.078844614,46.90509813,13.42785961,0.210473361,0.715684054,13.14696916,24.2099932
8,8,0.325322,1.675347,0.54112,0.778966,0.551175,0.618423,0.374603,0,Badajoz.txt,8,Bodajoz.txt,20904,0.998422,633.702638,38805.30146,Badajoz_class.shp,1.276354038,1.851106082,11.66369425,8.677849144,0.248779704,0.409059324,10.60708148,65.26607598
9,8,1.174438,0.667509,0.779475,1.511744,0.777582,0.890829,0.726995,0,Badalona.txt,9,Badalona.txt,14838,0.997048,338.792854,20106.00707,Badalona_class.shp,1.24626388,8.509623017,16.21313696,23.82652618,0.256721655,0.46583534,30.91355603,18.56833694
10,8,0.180328,0.830052,0.726807,1.297576,0.76185,0.830636,0.624002,0,Barcelona.txt,10,Barcelona.txt,69555,0.999068,1072.771035,41354.3137,Barcelona_class.shp,1.748788632,4.652241115,18.29327773,14.51636168,2.092078116,2.720612859,45.06742927,10.9092106
11,8,0.460676,1.032058,0.668666,1.104628,0.667596,0.764189,0.531214,0,Burgos.txt,11,Burgos.txt,9350,0.996769,309.514149,56106.63393,Burgos_class.shp,0.791483702,8.259385879,14.40477962,52.3121759,0.307489852,0.136661612,14.84266721,8.945356237
12,8,0.796603,0.676864,0.773811,1.486385,0.767844,0.884356,0.7148,0,Caceres.txt,12,Caceres.txt,11413,0.984475,64.411039,155914.9093,Caceres_class.shp,0.434506667,5.610840978,20.21645876,27.46440934,1.403430191,0.404661328,16.04868791,28.41700482
13,8,2.306052,0.847446,0.71318,1.248899,0.710609,0.815062,0.600593,0,Cadiz.txt,13,Cadiz.txt,4998,0.996097,256.191456,13541.17093,Cadiz_class.shp,1.045978109,9.97986691,17.39455304,22.72792078,1.604226427,1.280809783,44.05111827,1.915526688
14,8,0.315205,0.790186,0.734601,1.326523,0.733105,0.839545,0.637923,0,Cartagena.txt,14,Cartagena.txt,41052,0.995204,208.506366,121724.4577,Cartagena_class.shp,1.467330278,4.402338522,14.28780137,20.87064966,1.207123214,0.138342862,15.95147077,41.67494333
15,8,0.750757,0.629566,0.796432,1.591756,0.803526,0.910208,0.765473,0,Castello.txt,15,Castello.txt,14699,0.992952,141.879403,75105.3851,Castello_de_la_Plana_class.shp,1.462352126,12.12712797,14.61217847,23.72778937,0.834905352,0.157396688,24.26244076,22.81580926
16,8,2.287925,0.620345,0.801459,1.616759,0.821489,0.915953,0.777497,0,Ceuta.txt,16,Ceuta.txt,6816,0.993496,153.759147,22740.87731,Ceuta_class.shp,0.878866735,19.96326745,12.05413647,18.74626709,2.046676515,0.597665077,18.38491296,27.32820769
17,8,1.389138,0.713925,0.756267,1.411683,0.744301,0.864305,0.678876,0,Ciudad_real.txt,17,Ciudad_real.txt,7202,0.992569,134.573939,42794.05996,Ciudad_Real_class.shp,0.615294047,3.277289094,31.04549861,11.35236866,0.726024455,1.390794448,26.06445735,25.52827334
18,8,0.205504,1.082266,0.651208,1.053279,0.645673,0.744237,0.50652,0,Cordoba.txt,18,Cordoba.txt,34551,0.999299,1425.579338,27307.27755,Cordoba_class.shp,0.545181932,3.625494744,9.032239778,20.03786553,0.994550043,0.300080889,12.14712247,53.31746462
19,8,0.700946,0.645963,0.787801,1.55023,0.793153,0.900344,0.745503,0,Corunia.txt,19,Corunia.txt,14503,0.997335,375.208183,30418.17601,Corunia_class.shp,1.042108506,6.741383266,23.87092748,22.19081973,0.875388518,0.810725057,25.62930555,18.83934189
20,8,1.672576,0.638837,0.792325,1.571782,0.805076,0.905514,0.755867,0,Cuenca.txt,20,Cuenca.txt,6426,0.996383,276.482083,17299.63891,Cuenca_class.shp,1.500509888,10.14447526,15.38808253,26.96001378,0.571314941,0.905879967,25.03576172,19.4939619
21,8,0.415394,0.835171,0.713537,1.250146,0.692011,0.815471,0.601193,0,dos_hermanas.txt,21,dos_hermanas.txt,23546,0.995341,214.628729,89730.80787,doshermanas_class.shp,1.019749879,5.436159202,17.73784075,26.50511794,0.282604548,0.211401794,6.716097268,42.09102862
22,8,0.402706,0.918435,0.693897,1.183835,0.683827,0.793026,0.569304,0,Elche.txt,22,Elche.txt,17855,0.998199,555.095863,35787.72568,Elche_class.shp,2.28447609,1.580429639,11.91945174,19.66095931,0.877565925,0.156869792,15.84665598,47.67359152
23,8,0.810631,0.937728,0.687368,1.162728,0.687395,0.785563,0.559154,0,Fuenlabrada.txt,23,FuenteLabra.txt,7987,0.995503,222.375662,44379.20819,Fuenlabrada_class.shp,2.143776295,4.22067063,22.22148147,48.25205318,1.178906775,0.210116081,15.54435271,6.228642869
24,8,0.59992,0.791764,0.737726,1.338367,0.741321,0.843116,0.643618,0,Getafe.txt,24,Getafe.txt,14755,0.996697,302.737816,44048.38937,Getafe.shp,1.391918878,8.96903095,14.62894766,42.7313536,0.411231219,0.267820787,15.14063568,16.45906123
25,8,0.386259,0.771771,0.735261,1.329011,0.708071,0.840298,0.639119,0,Gijon.txt,25,Gijon.txt,14615,0.996262,267.501224,77425.69323,Gijon_class.shp,0.595710872,2.246498579,14.10405399,38.15103855,0.537690162,0.440848625,18.61450426,25.30965497
26,8,1.17693,0.685813,0.769897,1.469227,0.768239,0.879882,0.706549,0,Girona.txt,26,Girona.txt,9406,0.998359,609.466839,11152.93595,Girona_class.shp,1.969354894,3.52277132,23.44458903,16.06646087,0.909671049,0.53342316,22.20234348,31.3513862
27,8,0.573162,0.667978,0.778922,1.509238,0.789183,0.890196,0.72579,0,Granada.txt,27,Granada.txt,19125,0.996596,293.733857,47518.02585,Granada_class.shp,1.048003945,7.500218094,27.4712954,13.88726665,1.2477455,0.874957416,29.13292877,18.83758422
