,ciudades,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
0,Albacete,0.16171682960893854,0.00235165400679911,0.9371164515993443,0.8625093334833855,0.8976848198188142,0.937170351911715,0.8627065886501453,0.08098439958357143,0.9974245456657314,0.377355294582777,0.0021971095749662136,0.03268949577173984,0.09325556832123928,0.16957379171615883,0.49915185461948863,0.08788857112057818,0.0811815639418699,0.24990943581487468,0.5055392570375757
1,Alcala,0.16063861731843573,0.0033679421481025377,0.9253788197217436,0.8398548117781764,0.9314808565286873,0.925442258114525,0.8400853858181299,0.06575188058206069,0.9952623255481496,0.24735413545746976,0.00396067612403431,0.2298161015751996,0.15438087920154178,0.3424415894079608,0.7779209403575286,0.10887612984587233,0.33238627509488655,0.18056446454339703,0.11737765942211052
2,Alcobendas,0.16063861731843573,0.0033679421481025377,0.9253788197217436,0.8398548117781764,0.9314808565286873,0.925442258114525,0.8400853858181299,0.010590749336610493,0.9953740104715787,0.2518763765965468,0.0031636778359274012,0.0919852335481904,0.14533153493904724,0.2671680166140101,0.16060859187370594,0.0419261670343368,0.8712547754646127,0.18424172413250128,0.6079211189548971
3,Alcorcon,0.3426211592178771,0.0021612309623281808,0.9405079651969234,0.8692092097534823,0.904782289547876,0.9405591313884121,0.8693980326078252,0.01130306137624948,0.9929839531102016,0.18132010846654315,0.0022495420949457732,0.29355972718840656,0.09324429786887031,0.6760437794801618,0.4214359567951538,0.03232755673486194,0.04211418921854492,0.42474755539863596,0.10156706168943254
4,Algeciras,0.2504074720670391,0.01306804614838067,0.7663152557689884,0.593281409344927,0.7409863447571299,0.7665152759196846,0.5938672922691964,0.10457680054480131,0.9960418863136828,0.2825037293801504,0.0018109123752999504,0.15852616143603293,0.026272300257996983,0.2029438880908016,0.19889397656618854,0.11580806049985096,0.04407161072000989,0.09969970831274932,0.8678668699237774
5,Alicante,0.09334811452513966,0.003120427486498758,0.9206882329452315,0.8310249097315434,0.8924152275851926,0.9207558436636945,0.831268486147779,0.12829444318333036,0.9992182055359984,0.6669459738708718,0.0019770921267469113,0.15906612957751654,0.040171636948757666,0.16100588203020266,0.2651630781101465,0.37035922923951553,0.056385689300622814,0.4641382068537703,0.5737846877136752
6,Almeria,0.21647800279329607,0.0021318248086813155,0.9424677399016436,0.8731120441608907,0.9200658140948789,0.942515918995424,0.8732944826110416,0.17603500504880512,0.9957492718142991,0.26826839418060644,0.0024230442941681335,0.1660918148936693,0.08714903893956995,0.3970275269505566,0.08862770107520787,0.15812750564624653,0.1327350646360578,0.4615385602282147,0.5098417142861101
7,Avila,0.248856843575419,0.14364676631139264,0.22915046656298602,0.12703653288199634,0.22860812118617693,0.22537737636581823,0.12005477085381881,0.03955288721204198,0.9869596683404516,0.10587490701473234,0.007648428420258886,0.007892575636364675,0.012763794784949132,1.0,0.17563902749414093,0.005459597928505897,0.1115232969881827,0.15954277507961762,0.35192222894925046
8,Badajoz,0.10130167597765363,0.023347294748577163,0.6561120801983945,0.46562274961101274,0.6422402529614372,0.6564057807915573,0.46639114949213567,0.13671694598169906,0.9980410464430589,0.44365252193092986,0.00320454110356489,0.17999984799682628,0.023506614800831414,0.16112433850450564,0.07493716050074367,0.011924206506526227,0.05417060119911133,0.09653098823904532,1.0
9,Badalona,0.3977807262569833,0.0011142571798223588,0.9691965974528184,0.928916316983747,0.9395421639600859,0.9692230841223453,0.9290184438093313,0.08923469507565382,0.9949719447472347,0.23645825218376568,0.0011209366773236003,0.17466796075586238,0.11613230178565603,0.2694178893455087,0.396094360242628,0.013264496404750577,0.06479028465961842,0.6003120238744896,0.26286765368430576
10,Barcelona,0.050675279329608934,0.0046999769339277925,0.9000160249674247,0.7935101547666993,0.9188839967486891,0.9001004805842804,0.7938071651094433,0.5175377486242985,0.999484015653759,0.752128065371947,0.0034885696382804835,0.26371386451806156,0.06247280791886158,0.3189329276901587,0.1987156483689332,0.32300069652977,0.48653568373178097,0.9514538678978286,0.14196694444661642
11,Burgos,0.1485621508379888,0.009156255608788117,0.8236465470135766,0.6715201834009727,0.79511620547339,0.823796099056631,0.6719932153458165,0.04627679976204082,0.9943487428745019,0.21588796177380884,0.005132374965234156,0.09408225467477398,0.1126512883644044,0.22637230112268414,1.0,0.021832177266816324,0.003219906159037174,0.20161115665174056,0.11096714436677722
