,PR,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,IEI,index,ID,index,NP,DIVISION,SPLIT,MESH,variable,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI,SIN_EDIF,,,,,,,,,,
0,8,0.498351,0.723601,0.755052,1.40671,0.745706,0.862917,0.676484,0,Albacete.txt,0,Albacete.txt,13784,0.998146,539.338537,29764.11375,Albacete_class.shp,0.309538336,4.775117102,8.359747718,19.95410033,0.486136828,0.384972525,11.6781609,23.60864095,30.44358531,,,,,,,,,,
1,8,0.495263,0.76967,0.746116,1.370878,0.771443,0.852704,0.659253,0,Alcala.txt,1,Alcala.txt,11838,0.997178,354.3015,45591.23029,Alcala_class.shp,1.056989999,7.641038166,13.08497408,28.3926313,0.558714265,1.28704902,9.497243309,6.346373609,32.13498625,,,,,,,,,,
2,8,0.495263,0.76967,0.746116,1.370878,0.771443,0.852704,0.659253,0,Alcobendas.txt,2,Alcobendas.txt,4791,0.997228,360.738228,38438.57433,Alcobendas_class.shp,0.400435924,5.448710824,8.278689096,6.532552288,0.219084454,2.453740737,7.263753297,20.76406506,48.63896832,,,,,,,,,,
3,8,1.016461,0.714969,0.757634,1.417307,0.751111,0.865868,0.681581,0,Alcorcon.txt,3,Alcorcon.txt,4882,0.996158,260.312025,30234.66906,Alcorcon_class.shp,1.212314172,4.340486427,21.05376349,15.82204069,0.233759688,0.217901778,15.07274051,5.279852596,36.76714065,,,,,,,,,,
4,8,0.752361,1.209382,0.625019,0.98088,0.626374,0.714308,0.471704,0,Algeciras.txt,4,Algeciras.txt,16798,0.997527,404.331644,26298.18949,Algeciras.shp,0.580865451,1.030783009,6.748392,7.303642363,0.43462926,0.178542067,5.397894168,28.60928873,49.71596295,,,,,,,,,,
5,8,0.302543,0.75845,0.742545,1.356912,0.741693,0.848623,0.652537,0,Alicante.txt,5,Alicante.txt,19828,0.998949,951.527179,27789.56859,Alicante_class.shp,0.784016554,2.063983935,7.89198914,11.94801421,1.606124205,0.284915792,17.21038377,25.90231377,32.30825863,,,,,,,,,,
6,8,0.655187,0.713636,0.759126,1.42348,0.76275,0.867572,0.684549,0,Almeria.txt,6,Almeria.txt,25927,0.997396,384.069792,31791.76342,Almeria_class.shp,0.743784965,3.990144484,13.39588141,5.789273182,0.692402933,0.514802257,15.72174586,21.24452038,37.90744453,,,,,,,,,,
7,9,0.74792,7.1286,0.216069,0.243434,0.236178,0.243077,0.110792,0,Avila.txt,7,Avila.txt,8491,0.993461,152.927163,78686.93932,Avila_class.shp,0.191024376,0.675518092,29.36960707,8.407848536,0.131787805,0.448125263,8.231969099,15.15907686,37.38504291,,,,,,,,,,
8,8,0.325322,1.675347,0.54112,0.778966,0.551175,0.618423,0.374603,0,Badajoz.txt,8,Bodajoz.txt,20904,0.998422,633.702638,38805.30146,Badajoz_class.shp,0.891476872,1.292915767,8.146574818,6.061094006,0.173761626,0.285709855,7.408577509,45.58546886,30.15442069,,,,,,,,,,
9,8,1.174438,0.667509,0.779475,1.511744,0.777582,0.890829,0.726995,0,Badalona.txt,9,Badalona.txt,14838,0.997048,338.792854,20106.00707,Badalona_class.shp,0.957467929,6.537693388,12.45607686,18.30522014,0.197231707,0.357887608,23.74997699,14.26550781,23.17293757,,,,,,,,,,
10,8,0.180328,0.830052,0.726807,1.297576,0.76185,0.830636,0.624002,0,Barcelona.txt,10,Barcelona.txt,69555,0.999068,1072.771035,41354.3137,Barcelona_class.shp,1.199283626,3.190412203,12.54515729,9.955025182,1.434704562,1.865740887,30.90632509,7.481314438,31.42203673,,,,,,,,,,
11,8,0.460676,1.032058,0.668666,1.104628,0.667596,0.764189,0.531214,0,Burgos.txt,11,Burgos.txt,9350,0.996769,309.514149,56106.63393,Burgos_class.shp,0.473008557,4.935995765,8.608622025,31.26293922,0.183762889,0.08167207,8.870313551,5.345947163,40.23773876,,,,,,,,,,
12,8,0.796603,0.676864,0.773811,1.486385,0.767844,0.884356,0.7148,0,Caceres.txt,12,Caceres.txt,11413,0.984475,64.411039,155914.9093,Caceres_class.shp,0.277335817,3.581273401,12.90371021,17.52991379,0.895777876,0.25828621,10.24351597,18.13793403,36.1722527,,,,,,,,,,
13,8,2.306052,0.847446,0.71318,1.248899,0.710609,0.815062,0.600593,0,Cadiz.txt,13,Cadiz.txt,4998,0.996097,256.191456,13541.17093,Cadiz_class.shp,0.741832546,7.077958914,12.33663062,16.11918184,1.137755528,0.908380753,31.24210052,1.358537075,29.0776222,,,,,,,,,,
14,8,0.315205,0.790186,0.734601,1.326523,0.733105,0.839545,0.637923,0,Cartagena.txt,14,Cartagena.txt,41052,0.995204,208.506366,121724.4577,Cartagena_class.shp,0.76549323,2.296661075,7.453819619,10.88803336,0.629745506,0.072172247,8.321741233,21.74144938,47.83088435,,,,,,,,,,
15,8,0.750757,0.629566,0.796432,1.591756,0.803526,0.910208,0.765473,0,Castello.txt,15,Castello.txt,14699,0.992952,141.879403,75105.3851,Castello_de_la_Plana_class.shp,0.80182014,6.649407673,8.011982054,13.01014924,0.457785724,0.086301946,13.30330315,12.51010277,45.16914731,,,,,,,,,,
16,8,2.287925,0.620345,0.801459,1.616759,0.821489,0.915953,0.777497,0,Ceuta.txt,16,Ceuta.txt,6816,0.993496,153.759147,22740.87731,Ceuta_class.shp,0.532087348,12.08624882,7.297868102,11.34944713,1.23910786,0.361841009,11.13067453,16.5451632,39.457562,,,,,,,,,,
17,8,1.389138,0.713925,0.756267,1.411683,0.744301,0.864305,0.678876,0,Ciudad_real.txt,17,Ciudad_real.txt,7202,0.992569,134.573939,42794.05996,Ciudad_Real_class.shp,0.398643728,2.123327454,20.11411189,7.355102146,0.470385008,0.901083777,16.88693805,16.53954903,35.21085892,,,,,,,,,,
18,8,0.205504,1.082266,0.651208,1.053279,0.645673,0.744237,0.50652,0,Cordoba.txt,18,Cordoba.txt,34551,0.999299,1425.579338,27307.27755,Cordoba_class.shp,0.419203559,2.787730498,6.945107378,15.40759891,0.764733556,0.230739445,9.340215931,40.99708666,23.10758407,,,,,,,,,,
19,8,0.700946,0.645963,0.787801,1.55023,0.793153,0.900344,0.745503,0,Corunia.txt,19,Corunia.txt,14503,0.997335,375.208183,30418.17601,Corunia_class.shp,0.607303115,3.928634139,13.91111244,12.93200646,0.510144741,0.472461216,14.93583153,10.9788865,41.72361985,,,,,,,,,,
20,8,1.672576,0.638837,0.792325,1.571782,0.805076,0.905514,0.755867,0,Cuenca.txt,20,Cuenca.txt,6426,0.996383,276.482083,17299.63891,Cuenca_class.shp,0.777590091,5.257041959,7.974369644,13.97114391,0.296065251,0.469442615,12.97396332,10.10210711,48.1782761,,,,,,,,,,
21,8,0.415394,0.835171,0.713537,1.250146,0.692011,0.815471,0.601193,0,dos_hermanas.txt,21,dos_hermanas.txt,23546,0.995341,214.628729,89730.80787,doshermanas_class.shp,0.604926924,3.224789855,10.52228361,15.72312956,0.167644148,0.125405886,3.984063294,24.96886443,40.67889229,,,,,,,,,,
22,8,0.402706,0.918435,0.693897,1.183835,0.683827,0.793026,0.569304,0,Elche.txt,22,Elche.txt,17855,0.998199,555.095863,35787.72568,Elche_class.shp,1.632735095,1.129546923,8.518936684,14.05186004,0.627204062,0.112116216,11.325744,34.07273392,28.52912306,,,,,,,,,,
23,8,0.810631,0.937728,0.687368,1.162728,0.687395,0.785563,0.559154,0,Fuenlabrada.txt,23,FuenteLabra.txt,7987,0.995503,222.375662,44379.20819,Fuenlabrada_class.shp,1.576371499,3.103563045,16.34000251,35.48092287,0.866879181,0.154503528,11.43014532,4.580074477,26.46753757,,,,,,,,,,
24,8,0.59992,0.791764,0.737726,1.338367,0.741321,0.843116,0.643618,0,Getafe.txt,24,Getafe.txt,14755,0.996697,302.737816,44048.38937,Getafe.shp,0.92258032,5.944779957,9.696239795,28.32284735,0.272568923,0.17751479,10.03539268,10.90926075,33.71881544,,,,,,,,,,
25,8,0.386259,0.771771,0.735261,1.329011,0.708071,0.840298,0.639119,0,Gijon.txt,25,Gijon.txt,14615,0.996262,267.501224,77425.69323,Gijon_class.shp,0.390426222,1.47234505,9.243733454,25.00401882,0.35239971,0.288930203,12.19986224,16.58783386,34.46045044,,,,,,,,,,
26,8,1.17693,0.685813,0.769897,1.469227,0.768239,0.879882,0.706549,0,Girona.txt,26,Girona.txt,9406,0.998359,609.466839,11152.93595,Girona_class.shp,1.552626385,2.777329629,18.48355906,12.66669158,0.717178644,0.420547294,17.50418088,24.7172257,21.16066082,,,,,,,,,,
27,8,0.573162,0.667978,0.778922,1.509238,0.789183,0.890196,0.72579,0,Granada.txt,27,Granada.txt,19125,0.996596,293.733857,47518.02585,Granada_class.shp,0.786748824,5.630501478,20.62302288,10.42533356,0.936697146,0.65684077,21.87043049,14.14159488,24.92882997,,,,,,,,,,
28,8,1.015207,0.677647,0.775695,1.494749,0.7899,0.886509,0.718822,0,Guadalajara.txt,28,Guadalajara.txt,7516,0.996161,260.502719,30249.85776,Guadalajara_class.shp,0.788623719,2.774002635,8.852414621,17.69999254,1.190103527,0.320857642,10.13440305,11.73731251,46.50228977,,,,,,,,,,
29,8,1.271181,0.83472,0.705742,1.223298,0.669583,0.806562,0.588282,0,Hospitalet.txt,29,Hospitalet.txt,10485,0.996065,254.110685,24766.22439,Hospitalet_de_Llobregat_class.shp,0.849943809,2.077992309,17.53914925,31.9568163,0.335520135,0.68485922,27.30838927,3.586681606,15.6606481,,,,,,,,,,
30,8,1.105321,0.672091,0.777305,1.50195,0.784593,0.888348,0.722285,0,Huelva.txt,30,Huelva.txt,9937,0.988699,88.488862,81792.38016,Huelva_class.shp,0.79647321,4.439002987,15.04847184,11.10755869,0.419326807,0.216961943,11.29246267,5.261177462,51.41856438,,,,,,,,,,
31,8,2.06037,0.82612,0.72376,1.286486,0.727665,0.827154,0.618669,0,Huesca.txt,31,Huesca.txt,3847,0.996258,267.232724,14529.65173,Huesca_class.shp,0.866436198,4.857702028,8.669733168,25.68124437,0.186176138,0.449389733,12.86217402,5.089370356,41.33777399,,,,,,,,,,
32,8,1.077273,0.634194,0.793492,1.577414,0.796878,0.906848,0.758576,0,Jaen.txt,32,Jaen.txt,12873,0.996318,271.621896,27340.06078,Jaen_class.shp,0.768850957,5.593813555,14.36905248,14.75966737,0.339335186,0.343282915,13.4644086,15.02854893,35.33304001,,,,,,,,,,
33,8,0.366471,0.710242,0.76436,1.445449,0.770671,0.873554,0.695114,0,Jerez.txt,33,Jerez.txt,27839,0.995784,237.192296,92034.2474,Jerez_de_la_Frontera_class.shp,0.687817207,10.13919995,8.91183849,16.86993593,0.59671157,0.393960169,8.69095677,26.65627976,27.05330016,,,,,,,,,,
34,8,0.672603,0.665155,0.779888,1.513618,0.776091,0.8913,0.727896,0,Laganes.txt,34,Leganes.txt,8303,0.982034,55.661289,213687.0481,Leganes.shp,0.316660401,11.37399537,9.641162907,14.80315278,0.28814207,0.27355759,8.673626649,3.744190618,50.88551161,,,,,,,,,,
35,8,0.50741,0.687819,0.770551,1.472074,0.782022,0.880629,0.707918,0,Las_Palmas.txt,35,Las_Palmas.txt,37900,0.998696,766.602228,20566.54295,Las_Palmas_Gran_Canaria_class.shp,1.392137424,4.040704584,10.42695281,7.142159258,0.344980244,0.579231803,18.03322523,17.66581659,40.37479206,,,,,,,,,,
36,8,0.850704,0.687343,0.768489,1.46313,0.770071,0.878274,0.703617,0,Leon.txt,36,Leon.txt,10009,0.994554,183.625222,51212.84974,Leon_class.shp,1.536103837,2.32727387,16.91537351,19.9483203,0.430452501,0.838525399,18.35202721,8.80059444,30.85132893,,,,,,,,,,
37,8,0.782956,0.706056,0.764,1.443922,0.756322,0.873142,0.69438,0,Lleida.txt,37,LLeida.txt,9098,0.996503,285.963493,35730.7559,Lleida_class.shp,0.393020321,5.096789608,11.70931353,23.1702708,0.191583299,0.408600278,15.22628964,9.825641898,33.97849063,,,,,,,,,,
38,8,0.938932,0.761619,0.738439,1.341086,0.717721,0.84393,0.644926,0,Logronio.txt,38,Logronio.txt,5382,0.997344,376.517135,22629.31015,Logronio_class.shp,0.896323083,9.454684057,12.13799797,27.36631462,0.195743016,0.138828059,24.91428071,3.599331128,21.29649736,,,,,,,,,,
39,8,1.243941,0.668627,0.781168,1.519453,0.797964,0.892764,0.730703,0,Lugo.txt,39,Lugo.txt,9660,0.997613,419.017367,15348.22747,Lugo_class.shp,1.237100975,5.381047847,9.198398228,12.08702321,0.42490191,0.407549656,19.46369301,9.847467182,41.95281798,,,,,,,,,,
40,9,0.035194,2.691914,0.42008,0.544866,0.429715,0.47259,0.247979,0,Madrid.txt,40,Madrid.txt,131191,0.996704,303.430574,842787.1312,Madrid_class.shp,0.530128256,5.122786748,13.89123116,5.699978306,0.635233143,2.141166835,33.1184773,9.289530359,29.57146789,,,,,,,,,,
41,9,0.581606,45.947647,0.041614,0.042504,0.062084,0.046815,0.019344,0,Malaga.txt,41,Malaga.txt,11128,0.995012,200.494332,77181.26187,Malaga_class.shp,4.366035781,0.119284734,17.19439898,6.419821839,0.815937039,4.041965365,14.19281387,26.80057078,26.04917162,,,,,,,,,,
42,8,0.252467,0.998898,0.665668,1.09562,0.640649,0.760763,0.526882,0,Marbella.txt,42,Marbella.txt,17778,0.99829,584.782661,54186.41859,Marbella_class.shp,0.370369844,0.586150319,11.65021908,3.061722657,1.585354836,0.116039518,12.47892475,29.68149688,40.46972211,,,,,,,,,,
43,8,1.345751,0.637263,0.793009,1.575078,0.813828,0.906296,0.757452,0,Mataro.txt,43,Mataro.txt,11556,0.995858,241.415842,24624.05073,Mataro_clas.shp,0.739202699,2.861053838,12.30558876,13.6402135,4.347389552,0.332711951,18.93504168,18.06463376,28.77416426,,,,,,,,,,
44,8,1.994987,0.639054,0.79249,1.572577,0.793978,0.905703,0.75625,0,Melilla.txt,44,Melilla.txt,9591,0.991479,117.35592,34169.99307,Melilla_class.shp,0.701533709,19.48201152,9.877196292,9.688141594,0.375263609,0.15405403,12.96697073,15.74527299,31.00955553,,,,,,,,,,
45,8,0.906644,0.642828,0.789963,1.560473,0.793922,0.902815,0.750429,0,Mostoles.txt,45,Mostoles.txt,8032,0.994785,191.749053,46017.16061,Mostoles_class.shp,0.497161576,6.841903244,17.91672378,19.92577342,0.366322602,0.792309128,15.21441173,12.79537539,25.65001912,,,,,,,,,,
46,9,0.139961,1.035827,0.665709,1.095744,0.643466,0.748923,0.498694,0,Murcia.txt,46,Murcia.txt,63516,0.998003,500.835154,128393.1079,Murcia_class.shp,0.496315528,2.228139814,4.969976702,8.51092218,0.208812541,0.322970655,9.340993978,18.6767932,55.2450754,,,,,,,,,,
47,8,0.745707,1.208704,0.622217,0.973436,0.603775,0.711105,0.468124,0,Ourense.txt,47,Ourense.txt,16916,0.998782,821.333532,13061.77565,Ourense_class.shp,0.143348702,1.352728062,5.467567891,7.178337187,0.098003855,0.171138612,9.447169315,31.16226183,44.97944455,,,,,,,,,,
48,8,0.815073,0.764665,0.737757,1.338482,0.705927,0.84315,0.643674,0,Oviedo.txt,48,Oviedo.txt,8462,0.996951,327.930774,29930.32486,Oviedo_class.shp,0.320061384,1.133179572,14.45460695,13.10981307,0.264359205,0.324933454,23.86174962,9.657266925,36.87402982,,,,,,,,,,
