Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,LSI,TE,ED,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
Albacete,0.3195231897019883,0.0319909518633467,0.2519462541537448,0.0021971089510511,0.37098582261787,0.4683198234209475,0.0153850106459645,0.4248199904492044,0.1549755169733966,0.0639315057566008,0.8598727774415931,0.7829635224193758,0.7656170992605256,0.8598746446830396,0.7829611693283004,0.086461641317065,0.9974245456657314,0.377355294582777,0.0021971095749662,0.3655124629444479,0.1884484281703695,0.1888858120537211,0.1714852954819558,0.2674618212718133,0.1081845084730819,0.9999996481748484,0.2230411958949116,0.2953411972127263,0.2576027659970314,0.1002537232745677,0.4177584178022219,0.3069474158315504,0.0418664297906011,0.0442056940854295,0.0398262535771489,0.0484473439858208,0.0424656918361247,0.0380643350138796,0.0869671772428884,0.0905736462712333,0.0846420725104881,0.0827501901846334,0.2508325597590012,0.4991518546194886,0.0878885711205781,0.0931777549208592,0.2558805393790389,0.5055392570375757
Alcalá de Henares,0.3219293750462809,0.0247540821343225,0.319111762195798,0.0039606758866113,0.1786679854929113,0.3774422148458295,0.0398745618957985,0.2915892609797102,0.1538886339062464,0.0911525314567139,0.8339997509981787,0.747633630838523,0.8375167967102193,0.8340004762894015,0.7476324136361493,0.0701988968744777,0.9952623255481496,0.2473541354574697,0.0039606761240343,0.2636776649300998,0.4372956297724926,0.5409933342563846,0.4453474348269784,0.562444535053846,0.5536137571590558,0.9999997882808926,0.5484775790420078,0.4384867784934945,0.1702609592422658,0.0723647365350737,0.2813313762693817,0.3873437675937394,0.0489078335844583,0.0512647304589577,0.0468522792157005,0.0479261121041737,0.039620672966304,0.0448599532017198,0.0184682713347921,0.0294071135827523,0.5950569341733973,0.1445836879388561,0.5065375938689627,0.7779209403575286,0.1088761298458723,0.3815029592436212,0.1848787038768615,0.1173776594221105
Alcobendas,0.2669644594612582,0.0312874240266168,0.8330908565534251,0.0031636771479081,1.0,1.0,0.0277125957424745,1.0,0.1538886339062464,0.0911525314567139,0.8339997509981787,0.747633630838523,0.8375167967102193,0.8340004762894015,0.7476324136361493,0.0113070366037105,0.9953740104715788,0.2518763765965468,0.0031636778359274,0.2888315879948777,0.2233399471817145,0.1378641928911914,0.0,0.0,0.0,0.9999879082111186,0.196769128145211,0.7722568878846225,0.0835853572109097,0.0405027911016349,0.1868292645002253,1.0000000000000002,0.0249135210353828,0.0255542713450109,0.0243546942523829,0.1099375832383118,0.0146561778497131,0.0197986251188506,0.0064070021881838,0.0011728582159376,0.2381750046634546,0.1354294995989739,0.3951933657601976,0.1606085918737059,0.0419261670343368,1.0,0.1886438244855678,0.6079211189548971
Alcorcón,0.1228492571668165,0.0375273179890765,0.4023143372656012,0.0022495419936512,0.3163369601055061,0.6137721207354208,0.0251945476698245,0.483383384452025,0.3373346445385534,0.0588310717588284,0.8673486228172531,0.7934120282544479,0.7807166782602379,0.8673508682147759,0.793411559193247,0.012067524653184,0.9929839531102016,0.1813201084665431,0.0022495420949457,0.2975144275465275,0.2277568878837073,0.3224726546274503,0.2119083402913072,0.2950306834651928,0.2368339688756062,0.9999996904407356,0.3715502633007261,0.1520794317639006,0.0911483232618581,0.0198256627573046,0.291285561051442,0.4187591487445108,0.0412746438521869,0.0427381798398034,0.0399982291622915,0.0355082918212971,0.0342744441535292,0.0404249020701239,0.019308533916849,0.0141863131399654,0.7601066681585511,0.0827387891548274,1.0,0.4214359567951538,0.0323275567348619,0.0483373984332961,0.4348960783371197,0.1015670616894325
Algeciras,0.1892544317545839,0.0186111873767506,0.0733276662085927,0.0018109122258543,0.0712990438509726,0.1321631624707804,0.0179030975983616,0.102442400050861,0.2443793925844164,0.3509674102829996,0.4833791284357185,0.3631006140727973,0.4322474487159071,0.4833805400311111,0.363100302829622,0.1116496740765502,0.9960418863136828,0.2825037293801504,0.0018109123752999,0.4718991738146609,0.2815094374528817,0.2800601301501269,0.7381389739307914,0.7617174517133743,0.384196345754626,0.9999996893501952,0.3104876967504837,0.3770726782335041,0.2710264054310196,0.078274343689863,0.5816129817298127,0.0970611417633149,0.0263265918647623,0.0282712877421235,0.0246305362800375,0.0308721509939196,0.0231852839200564,0.022545480692076,0.0787746170678337,0.0352582264802393,0.4104677216428014,0.0149908660076225,0.3001934109161592,0.1988939765661885,0.1158080604998509,0.0505840678996656,0.1020818403907608,0.8678668699237774
Alicante/Alacant,0.5692471543183703,0.0128336013352947,0.3087261401168593,0.0019770920776754,0.2945268710847346,0.4968943012454109,0.0146212443528264,0.333599854810062,0.0860569937828036,0.0845229126597947,0.8236603846788602,0.7338633342930274,0.7544062554999622,0.8236614494398535,0.7338625846518486,0.1369714190205582,0.9992182055359984,0.6669459738708718,0.0019770921267469,0.2609412548895786,0.1928098680467869,0.232776865715925,0.2330754244364041,0.3349003429832344,0.1757777417882557,0.9999996790563584,0.2984516840059825,0.3107796244229542,0.3548431127617951,0.1688621881724833,0.3682861110400643,0.210899673460196,0.0913272436781678,0.095078002774936,0.0880560402025565,0.1042403272166721,0.1107699468682973,0.0913469077412983,0.4990284463894968,0.1570641645691393,0.4118658472946604,0.0290512379169994,0.2381589579213446,0.2651630781101465,0.3703592292395155,0.0647177965487237,0.4752278933722988,0.5737846877136752
Almería,0.2271607285505182,0.0277266320702331,0.0188795892790543,0.0024230437071462,0.0420870425321463,0.0769156644371705,0.019291272629314,0.0898566695512384,0.2101770690198905,0.058043435229747,0.8716685148778587,0.7994985269351971,0.8132317568870004,0.8716678742798656,0.7994968558617112,0.1879408323583486,0.9957492718142992,0.2682683941806064,0.0024230442941681,0.2859022259643211,0.3184776123544841,0.3692663726091343,0.784254569069487,0.8527913215990351,0.44669542556794,0.9999997341949536,0.3991937321583201,0.3761650002748303,0.3836386257855939,0.1175411627607152,0.7255363747231948,0.161017903389258,0.0500477491215677,0.0528721629142555,0.0475844524989812,0.0571026161404442,0.0533366656352398,0.0428053572480347,0.2113960612691466,0.1112568032365615,0.4300572739877504,0.0765729116502641,0.5872807930513724,0.0886277010752078,0.1581275056462465,0.1523493108720975,0.4725661332087697,0.5098417142861101
Ávila,0.2271607285505182,0.0277266320702331,0.0188795892790543,0.0024230437071462,0.0420870425321463,0.0769156644371705,0.019291272629314,0.0898566695512384,0.3656020515621832,0.0287626188766872,0.9335715257731364,0.8911440606106023,0.8627460840268524,0.9335702957554506,0.8911433099667235,0.0305114491057997,0.98181546076732,0.0778951513071214,0.0060666724657515,0.3489010507112908,0.2597438636899722,0.2699181122297602,0.4322849986084053,0.4711650808117841,0.2551346417161131,0.9999996882163577,0.3032163706346145,0.3383315102491717,0.1279622546458809,0.027268156213828,0.4095913230821478,0.383515369890778,0.006708827372525,0.0068312625438301,0.0066020462256751,0.0064271822930371,0.0102250097192138,0.0073065899291141,0.0578730853391685,0.0451616304047019,0.0975819006271909,0.0870212623567783,0.6764627013763058,0.2457018016933625,0.2695564017753932,0.0274463479072141,0.3259623145034159,0.4424899899887675
Badajoz,0.5247443765221155,0.0254423635655437,0.2559009216357607,0.0032045407353629,0.1394823606989778,0.3695223146113364,0.0201634193528506,0.1981339141355757,0.0940745162525623,0.6262945335188681,0.2404604796469966,0.1640160045434289,0.222169143221113,0.2404602779706017,0.1640139174507364,0.1459635634297175,0.9980410464430588,0.4436525219309298,0.0032045411035648,0.1177007139223622,0.2978405553782615,0.3065203631544593,0.490750533444661,0.5951906966225916,0.2916918184361243,0.9999997187136076,0.3695615245339931,0.2285188020804434,0.3020643411202494,0.1513975854125268,0.3576940107964389,0.22204706677176,0.0347868266994897,0.0363676712143338,0.0334081020365768,0.0441010564775411,0.0350718163954543,0.0329523228178714,0.0868446389496717,0.0609754490465585,0.4660689871880922,0.0121931378154597,0.2383341780445059,0.0749371605007436,0.0119242065065262,0.0621753851165106,0.0988374098675324,1.0
Badalona,0.0974029487646937,0.0493813226450383,0.0148913222432406,0.0011209367971574,0.087817342565117,0.1339704452054164,0.0055297033805149,0.1809055154808452,0.3929377942468408,0.0307881387729296,0.930586399288897,0.8865256967971193,0.8546669013317241,0.930588420087252,0.8865239793083509,0.0952699314725054,0.9949719447472348,0.2364582521837656,0.0011209366773236,0.4539370976512487,0.6372558541808315,0.7161619558122521,0.6790834029130718,0.8501221513717615,0.7409048747809983,0.9999999161176794,0.786173293724286,0.693063744383021,0.3051090502604819,0.0636548056049623,0.8637739514605866,0.3078482152910708,0.056670173321732,0.0603477000049459,0.0534628390842044,0.0490865335660225,0.0488420250874729,0.052454920894996,0.0349934354485776,0.0497212814464372,0.4522632683841464,0.10589196937437,0.3985213643303918,0.396094360242628,0.0132644964047505,0.074364338060664,0.6146553208919855,0.2628676536843057
