Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,LSI,TE,ED,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
Albacete,0.0010226206969895,1.8661786985151384e-06,7.41891995136952e-08,1.8960643435463975e-06,2.0079198776171184e-08,5.338843001272208e-06,2.296976634197055e-05,3.637609951866055e-06,3.1746474585354334e-07,4.609558475138403e-07,4.809910911911676e-07,8.961170593409824e-07,4.7503740490429926e-07,5.497043772315137e-07,4.309408853077217e-07,0.0087808272820667,6.358493636307158e-07,0.0003435750536824,0.018960645824328,6.604616708615582e-07,7.898380895496589e-07,7.618966613542141e-07,1.601214177532768e-07,1.5459071966397737e-07,6.765071930307904e-07,3.337708134637481e-07,3.186152227884978e-07,6.293629288052524e-06,5.076335825127371e-05,0.9849482654144288,0.0006135627875678,0.0079813541074444,0.1110573349569346,0.054283910041645,0.0567734249152896,0.0796625648653723,0.0530327823006424,0.0401201757272608,0.003292173200357,0.0096070557342461,2.834897923489388e-07,4.373277227206363e-06,7.656250838143523e-06,1.827490524486561e-05,4.452270116392908e-07,3.5257597688508454e-07,1.069540998519967e-05,2.1621905729470223e-05
Alcalá de Henares,0.0012862964378667,1.951807516631384e-06,1.0865844543961517e-07,3.6305136477416407e-06,1.5810106014306378e-08,6.045226639182051e-06,4.426242558430872e-05,3.881348377456782e-06,3.9438705222944606e-07,6.129024023386315e-07,5.941459181510133e-07,1.091655410127949e-06,6.143142749065456e-07,6.790239064583009e-07,5.249753107811787e-07,0.0094268175177475,7.940712146234515e-07,0.0002821368125328,0.0363051367083487,8.163625563006188e-07,1.030180424019435e-06,1.0091098384881291e-06,2.589269175522208e-07,2.618016270672629e-07,8.697580956668567e-07,4.584588327226006e-07,4.608326579481797e-07,9.18006232732476e-06,5.034834329870105e-05,0.97177271792546,0.0006016035636325,0.0105456449051807,0.1573222607231992,0.0764951442450027,0.0808271164781964,0.0987586147772873,0.0628669507157976,0.0572266273099684,0.0009993796236503,0.0046170542294222,1.2402570420502983e-06,8.965885574818067e-06,1.535372259444269e-05,3.331551000357218e-05,6.555873776611888e-07,1.5102050265155167e-06,1.1143930309475251e-05,7.446744588628973e-06
Alcobendas,0.0015441170354702,3.210428534327605e-06,3.222951836328951e-07,4.280435893738885e-06,7.75896843540617e-08,1.4475389239664547e-05,5.109846078437717e-05,1.0378598004137468e-05,5.515141489500783e-07,8.570878402432784e-07,8.308586160444787e-07,1.5265800463276795e-06,8.590622146384754e-07,9.495527040508328e-07,7.341298607765692e-07,0.0053351538225545,1.110491499928702e-06,0.0004017102767805,0.042804363759183,1.1448019621342388e-06,1.3890987781626284e-06,1.3203642687609677e-06,2.284450283715194e-07,1.833116982884188e-07,1.174404215122126e-06,-4.247695576991457e-06,5.499028010934229e-07,1.7117807075526875e-05,5.221663820200222e-05,0.9444171363172033,0.0006810898672493,0.0208060976874575,0.1318666061793863,0.0629773093885929,0.0688892967907933,0.2750928249957752,0.0458671782085574,0.0435420266365486,0.0006302853399219,0.001684844027035,8.682005725625058e-07,1.18135601075276e-05,1.7949345163666512e-05,1.4163478597203386e-05,4.7500545517858646e-07,5.3200499397224936e-06,1.574882370922267e-05,4.501937037340291e-05
Alcorcón,0.0011962527728776,5.00897096095145e-06,2.4503395040152205e-07,4.595457360518558e-06,4.286961784382826e-08,1.4658541195201522e-05,6.669300696531342e-05,9.237828871874468e-06,1.544949286408634e-06,1.0867026342912266e-06,1.1515504359330254e-06,2.1542070362482787e-06,1.1416359343483668e-06,1.316058509597585e-06,1.0359552206918742e-06,0.0074202969088306,1.5140901532378045e-06,0.0003956559841128,0.0459545721764516,1.5640517631702443e-06,1.89744074831311e-06,1.8589166095480088e-06,3.9860004998851683e-07,3.810767802093466e-07,1.6274009141049345e-06,8.20103920976454e-07,8.146838515833997e-07,1.250872675585339e-05,7.343726953184389e-05,0.921873275145896,0.0011713097974423,0.0205524897175765,0.2620115654100511,0.1260918499098084,0.1359197155002426,0.1510582155436579,0.1077037401181178,0.1004156770952085,0.0019804684293745,0.0053015148746418,2.9140424180922515e-06,1.043323740434718e-05,5.06069806805286e-05,3.803147631386171e-05,5.618887113948606e-07,5.237710139971903e-07,3.623038172200563e-05,1.2691194069859212e-05
Algeciras,0.000815709419759,1.5687208526650671e-06,4.8559656460681244e-08,2.017426653930052e-06,1.0234350345054478e-08,4.189312139298901e-06,2.920124047943608e-05,2.828462671638688e-06,5.771625860097093e-07,9.27759469979962e-07,4.794740587898662e-07,7.524675486438075e-07,4.805135269494906e-07,5.479707912656604e-07,3.618607297176807e-07,0.0128863366386496,7.65238047871311e-07,0.0003101770257317,0.0201742661480615,8.04657288743856e-07,9.66587249634005e-07,9.316480781726824e-07,3.099648023889504e-07,2.968222426024671e-07,8.290560229260356e-07,4.136116684986847e-07,3.9987918176404563e-07,8.301072282538093e-06,6.307187165947736e-05,0.9891234678363104,0.0009302226796501,0.0081814966216929,0.0944174628415122,0.0465873519305009,0.0478301109110112,0.06918638699646,0.0414935743807549,0.0327505348123128,0.0036055353138262,0.0051290657677111,8.86170531491562e-07,1.5725664606299266e-06,1.0295372388571718e-05,1.114246444216892e-05,6.630720441571306e-07,2.723844528014871e-07,8.23504778124212e-06,4.364643921745789e-05
Alicante/Alacant,0.0010985978992464,6.908908942577904e-07,5.540658059256824e-08,1.1545628748034018e-06,1.1168564033363972e-08,3.585069169948761e-06,1.472769398276147e-05,2.134570508230804e-06,1.2569640905981833e-07,3.1511038580109013e-07,3.0850239491683105e-07,5.637511554065908e-07,3.081484176622954e-07,3.525742249715585e-07,2.711071076794594e-07,0.0082378650269154,4.150296061515106e-07,0.0003953274394817,0.0115456281622265,4.257943369789959e-07,5.155180152797641e-07,5.005907279813959e-07,1.1132543108518625e-07,1.0900006642129449e-07,4.431201110032257e-07,2.2242401759176166e-07,2.1536026021897489e-07,4.178522423834231e-06,4.07215720289479e-05,0.9753905223830748,0.0003688718625042,0.004850984065678,0.1402123847596064,0.0678809550848587,0.0723314296747477,0.0979391081495792,0.0775085547554615,0.0551061984857264,0.0119267899600394,0.0104581167267256,4.811996558005289e-07,1.266795138280364e-06,4.843803919586868e-06,7.333238428613187e-06,9.857781835102951e-07,1.748705179483059e-07,1.0563081485682504e-05,1.5897858791442152e-05
Almería,0.0006875351221898,1.4907915262284242e-06,2.6518253719728853e-08,1.7901304976679628e-06,6.5142727950640865e-09,2.804760721830556e-06,2.2057053464115417e-05,2.031625947505068e-06,3.689227115377002e-07,4.018341758473813e-07,4.274486861289497e-07,8.015331522446041e-07,4.294892881351138e-07,4.885124623873575e-07,3.854558671958099e-07,0.0145989757764393,5.616137633940478e-07,0.0002162620276109,0.0179013069024133,5.786801558346734e-07,7.139792762676562e-07,6.939910615836572e-07,2.3451269446225958e-07,2.32835279071431e-07,6.109204287560136e-07,3.129238400931572e-07,3.055683257425717e-07,6.087131550628118e-06,5.824565646301316e-05,0.984333159548024,0.0008061527638033,0.0063250779070753,0.1133603965466239,0.0554808378226691,0.0578795587239547,0.0800829302214884,0.056134573730273,0.0389527498847733,0.0069123703718736,0.0102593180331979,6.744938301571899e-07,3.618421940965105e-06,1.2147918805479053e-05,5.249943501212791e-06,6.278985572767523e-07,4.668431903109361e-07,1.4257105326823502e-05,1.926537722424455e-05
Ávila,0.0017373659920087,3.767153728226525e-06,6.701026710224719e-08,4.523567956790611e-06,1.6461233254186173e-08,7.087486495686145e-06,5.573704285887018e-05,5.133814572898755e-06,1.5605701599009017e-06,9.449038154268482e-07,1.1105619606095455e-06,2.15768649158778e-06,1.1105164286306248e-06,1.2692124496614737e-06,1.0376282676245792e-06,0.0100867562052835,1.4102932863473645e-06,0.0001609302211672,0.0917632732325563,1.472515581291228e-06,1.7861199318564576e-06,1.725092851359263e-06,4.5764618875530893e-07,4.298859103570746e-07,1.5252515730018256e-06,7.665664369890681e-07,7.391946032860013e-07,1.4761925731639455e-05,7.862015337488976e-05,0.986725576793833,0.0013527669249351,0.0187947471738737,0.0830517524257578,0.0395331406979262,0.0435186117278316,0.0593267456593735,0.0490706674074784,0.0323988487507839,0.0049885974405027,0.0116519179806837,6.73333423890028e-07,1.0200037769699917e-05,3.4301076125299074e-05,2.38084632696452e-05,2.5261589071941774e-06,3.5186519971341974e-07,2.7814954991343947e-05,4.2611544431966905e-05
Badajoz,0.0011399344512634,1.1572908707364738e-06,5.45319383322294e-08,1.7988475038369074e-06,8.101588655301631e-09,3.4871908588830174e-06,1.848088215211016e-05,1.9875467938029384e-06,1.5080534556960789e-07,7.766191136289763e-07,2.508400556821433e-07,3.61095274272798e-07,2.555011230237384e-07,2.866744155734737e-07,1.736499064508758e-07,0.0096901990759526,4.628256765121911e-07,0.0002937574013191,0.0179884757151625,4.675099217122725e-07,5.857169999924073e-07,5.654479627461372e-07,1.563995534938615e-07,1.5683158877604613e-07,4.980615840974052e-07,2.549633967068563e-07,2.482445990888473e-07,4.223050781249494e-06,4.082411754324865e-05,0.9937107647651532,0.0004040949453454,0.0054583856735238,0.0699897157139132,0.0339184781088527,0.0360712376050604,0.05397242482837,0.0334071745506449,0.0260968779840656,0.0023924185529559,0.0049086068702288,5.916630654236554e-07,8.580934962345396e-07,5.406789095079639e-06,4.022679188501994e-06,1.153236154715167e-07,1.896223824834785e-07,4.91698866992207e-06,3.0254557460412093e-05
Badalona,0.0005845208326578,3.500414703390284e-06,3.93938380732016e-08,1.7253047447899542e-06,1.2307785559900902e-08,4.6995618300204725e-06,2.419821593922707e-05,3.5864233246309184e-06,1.0077899363730668e-06,5.727921377190192e-07,6.68870609307938e-07,1.2972335615608192e-06,6.67246218450733e-07,7.644239212536402e-07,6.238373117981005e-07,0.0127325470360321,8.555708691994754e-07,0.0002907195005409,0.0172530449336548,8.983181776741336e-07,1.1472103825032275e-06,1.1178031586910685e-06,3.330653416304467e-07,3.541601120703159e-07,9.48157715644196e-07,5.345678953871648e-07,5.458176387247024e-07,1.2408088477443346e-05,7.606310157977859e-05,0.959853383876624,0.0014091097782739,0.0107580497500158,0.1914996355198246,0.0944068850121437,0.0970927505076809,0.108396554396726,0.079712712249978,0.0701868998327389,0.0018869706788135,0.0076208215545896,1.0694240107432248e-06,7.302141482871989e-06,1.3912557551208508e-05,2.044563723494421e-05,2.2029387703568722e-07,3.99735164954579e-07,2.6527045841959245e-05,1.5933564056439134e-05
Barcelona,0.0006704786920595,1.7618860692766709e-07,9.639516626102331e-09,6.249969565174968e-07,3.688533485570435e-09,9.377209996466548e-07,6.34682190646647e-06,7.585233497911131e-07,2.725337484167604e-08,1.2544761930528192e-07,1.098439710336389e-07,1.961055693711605e-07,1.1514009817183627e-07,1.2553588053430646e-07,9.430682094824725e-08,0.0105120030561686,1.5099138623133177e-07,0.0001621302911147,0.0062499701243642,1.5914935349420182e-07,1.956536839691341e-07,1.8857993940664443e-07,4.748454121520717e-08,4.3802506416020384e-08,1.6329657333266522e-07,8.638295752743033e-08,8.613630970933434e-08,2.574533501915708e-06,2.6664034514891007e-05,0.9260148117336594,0.0002087325008434,0.0025314650447965,0.2515115558913208,0.1195014723964773,0.1320100834948434,0.1463950013711886,0.1226469877384087,0.1033862414874232,0.0058592458699532,0.0133387805008178,2.642983458295875e-07,7.031036276171857e-07,2.764704067358228e-06,2.1938902788384614e-06,3.161804550231545e-07,4.111723195810463e-07,6.811141603334103e-06,1.6487334507596465e-06
Burgos,0.0014978419832018,1.7950646194106e-06,1.6019661564573622e-07,4.839332494097632e-06,2.5959390195928084e-08,7.618858060004788e-06,5.083618575696736e-05,4.801484070627269e-06,3.9734418838752587e-07,8.901749784639381e-07,5.767405922434278e-07,9.527683580871064e-07,5.758176913725888e-07,6.591314893323616e-07,4.581849188802785e-07,0.0080646010676123,8.597373627339948e-07,0.0002669634370552,0.0483933283306963,8.984871239707381e-07,1.083385569560362e-06,1.0541416872932607e-06,2.465430486166026e-07,2.1685151630093562e-07,9.225368856357898e-07,4.7342399606344155e-07,4.591906220722396e-07,7.016491011898277e-06,5.11356921027558e-05,0.9715008669234556,0.0005594335029395,0.0124384611760467,0.1521647904969013,0.0724477183608658,0.0797170721360355,0.0927713755754272,0.0794729777935612,0.0613047685007071,0.0059453791613958,0.0121676285840435,6.826738297483358e-07,7.123920018995231e-06,1.2424470706114651e-05,4.512051653607088e-05,2.652174319485722e-07,1.1787394460286832e-07,1.2802159339890929e-05,7.715586038404556e-06
Cáceres,0.0009989641761737,1.0744440827490225e-05,8.75286206367155e-08,1.5509207560826016e-05,1.7091322716352953e-08,6.2717634266597945e-06,7.779779611117075e-05,4.344948063382011e-06,7.923989611113323e-07,6.732918786568226e-07,7.697272449344544e-07,1.4785406655654925e-06,7.637917355264414e-07,8.796888483379719e-07,7.11027673009492e-07,0.0113527683716526,9.79279474518774e-07,6.407111244585008e-05,0.1550920749119544,1.0281074199370966e-06,1.2475750438199032e-06,1.2145084770793023e-06,3.380693872859891e-07,3.467155156209058e-07,1.0681708650380062e-06,5.409967647407014e-07,5.301184790215747e-07,8.960602903506918e-06,6.467641205459473e-05,0.9759846039142248,0.0009718405424555,0.0127473693755129,0.0957470182785795,0.045860688075587,0.0498863302029924,0.0734682175057849,0.0500454858097097,0.0368524807353884,0.0059573933039365,0.007217706764629,4.322135763068274e-07,5.581230000298884e-06,2.010976724764292e-05,2.731946707274812e-05,1.3960236470872929e-06,4.025257448304012e-07,1.596399163332802e-05,2.826703527009529e-05
Cádiz,0.0007195648100516,8.949789977511282e-06,1.4396969947120946e-07,2.808699287406076e-06,4.631879208891482e-08,1.3160058453611878e-05,5.450925753794578e-05,9.667458498579412e-06,4.7831956980979895e-06,1.757766113500627e-06,1.4792725870750202e-06,2.5904569039028093e-06,1.47393983822989e-06,1.6905954644921897e-06,1.2457454792466805e-06,0.0103668139743135,2.066096898633818e-06,0.0005313903893878,0.0280869948030597,2.2105395139886098e-06,2.5769642818734155e-06,2.4860876871041877e-06,6.138178523874727e-07,5.970127449805321e-07,2.2107759719304007e-06,1.0520698313800226e-06,1.009252276183593e-06,2.1511280041788737e-05,0.0001071377140875,0.9305379203332792,0.0026823362172419,0.0269582795566533,0.23944270475806,0.1132094251136523,0.1262332796444076,0.1465873303706859,0.1228004911034934,0.0974165236329753,0.0110886329545178,0.0142579990515068,2.16955991940922e-06,2.0700164814801436e-05,3.6079650966788826e-05,4.714208218271223e-05,3.327474378028556e-06,2.6566460097722946e-06,9.137049789227204e-05,3.973171035880149e-06
Cartagena,0.0008023256941562,1.6376962013166729e-06,1.9544189143915904e-08,3.847967439839912e-06,5.033596825532922e-09,1.7722098536449396e-06,1.778321834496783e-05,1.2710042205025108e-06,9.964296221767915e-08,2.497944948301551e-07,2.3222290156586765e-07,4.193419557744401e-07,2.317499843485721e-07,2.653979179106976e-07,2.0166094251927646e-07,0.012977404815787,3.146050175945279e-07,6.591326898203893e-05,0.0384796736713205,3.2570529511332226e-07,3.927362527268154e-07,3.797054234392884e-07,1.112819101497567e-07,1.0801606270866016e-07,3.388774305479957e-07,1.6677413023082657e-07,1.607652997051888e-07,3.811682739894456e-06,4.090803634316791e-05,0.993358524005728,0.000391389215051,0.0035064156244935,0.0683163061465973,0.0339760672997944,0.0343402388468028,0.0505771686809953,0.0366005049588772,0.0242145627858441,0.0089563439842365,0.0034197984336252,4.638541122495221e-07,1.391672248273598e-06,4.516675979393138e-06,6.597653449437027e-06,3.815971599583935e-07,4.3733102493144466e-08,5.042597037647002e-06,1.3174330368030676e-05
Castelló de la Plana,0.0008405949490198,5.313847200299103e-06,5.718714415969372e-08,5.924714824813114e-06,1.2571169053009616e-08,4.833024438479357e-06,4.005246245955519e-05,3.338258322727805e-06,5.922372718831789e-07,4.966353298209746e-07,6.282681545699394e-07,1.2556622594843357e-06,6.338642811551583e-07,7.180207480799307e-07,6.038460396909154e-07,0.011595357298581,7.832936404068777e-07,0.0001119220607588,0.059247144382749,7.849936196557002e-07,1.0262526236295454e-06,9.781088957614995e-07,2.8927099331077564e-07,2.789259687775698e-07,8.527829545829924e-07,4.598597694493472e-07,4.461818389642735e-07,1.1719442373235984e-05,6.0759596514630896e-05,0.9743502021996792,0.0009143756434804,0.0100854917383739,0.1374687627920223,0.0665153365575249,0.0709534262344973,0.1013384845668156,0.0717777781208173,0.0543654152626922,0.0065971816509989,0.0108041372584098,1.1535815631886308e-06,9.566527098290118e-06,1.1526867832524938e-05,1.871774921087315e-05,6.586179921720946e-07,1.2416292502709652e-07,1.913951082031822e-05,1.7998330527653254e-05
Ceuta,0.0007360901588895,7.09573723449287e-06,1.079941424284173e-07,4.787294022743755e-06,1.898002316051872e-08,9.755681380931216e-06,7.879330101059614e-05,6.408338729318679e-06,4.816422969113775e-06,1.3059186410283924e-06,1.6871905925250858e-06,3.4035185520160924e-06,1.7293567264985984e-06,1.928217519293101e-06,1.6367470127810364e-06,0.0143486954150505,2.091457086278029e-06,0.0003236859107366,0.0478729345645868,2.3064075326900835e-06,2.657066407789232e-06,2.5344877932605407e-06,9.991458066155052e-07,9.60928932119492e-07,2.2789121819248286e-06,1.0283715898383849e-06,1.0446549171616558e-06,2.1413838519486637e-05,0.0001153468720395,0.9610057778461384,0.0027483866019762,0.0260154310356799,0.1772577540108692,0.0895572477035034,0.0877005063073657,0.1422849140856588,0.0561316922750744,0.0524266300786998,0.0008694265267628,0.0028103738819091,1.8501454065338809e-06,4.20256520142668e-05,2.537575303689589e-05,3.946368495357918e-05,4.308558968144382e-06,1.258174024367037e-06,3.870298067712077e-05,5.752994841300641e-05
Ciudad Real,0.0008453163455907,1.0547072382601283e-05,1.1737183413628537e-07,6.281426800317951e-06,3.4000739916372746e-08,9.88843501373947e-06,5.821441000192541e-05,7.370922707918866e-06,2.0390139805711537e-06,1.0479182457605085e-06,1.110068967982018e-06,2.0721061357004327e-06,1.0925049525339383e-06,1.268650039432764e-06,9.964723843665805e-07,0.0105712885890915,1.4569193756714808e-06,0.0001975312337878,0.0628142679444664,1.5099930569828347e-06,1.8861442231859663e-06,1.8458685237141416e-06,4.388640660877383e-07,4.4392072940201493e-07,1.5884014288034529e-06,8.414478572439888e-07,8.350906993879272e-07,1.6950686956775158e-05,8.194006730893309e-05,0.9833124743089414,0.0017074464563191,0.0199330878977871,0.1108267944502593,0.0525085679946642,0.0583182264555951,0.071452340631545,0.0558038391530244,0.0435680349765919,0.0045062282655527,0.007710494162524,9.031450899732096e-07,4.810492752368281e-06,4.556941477347269e-05,1.6663310923995897e-05,1.0656781500337278e-06,2.041445359332723e-06,3.825810893708945e-05,3.7471083679304616e-05
Córdoba,0.0010171042513022,3.2529462296239466e-07,2.9437706254747267e-08,7.134673713110277e-07,7.253480083822611e-09,2.158728372849569e-06,9.151638641512005e-06,1.4081282626698349e-06,5.369278766464527e-08,2.827676275627967e-07,1.70143514819752e-07,2.751940872130465e-07,1.686973649651321e-07,1.94449544598512e-07,1.323403476715593e-07,0.0090272671412778,2.610905336173133e-07,0.0003724663689969,0.0071346730729897,2.686382078721028e-07,3.357343356527376e-07,3.169777589746329e-07,7.504956007051457e-08,7.032625436648226e-08,2.79249838648144e-07,1.3681283063657894e-07,1.307619933315848e-07,2.256958656931211e-06,3.3225584752600394e-05,0.991387783340162,0.0002546676415376,0.0030806780371858,0.0851854114634911,0.0408953412275832,0.0442900702359078,0.0589660744787001,0.0399153036296285,0.0318291443070211,0.0034697145563419,0.0046023359871959,1.424416931713109e-07,9.472463770480352e-07,2.359886583892852e-06,5.235366996043895e-06,2.598497561150285e-07,7.840324010868395e-08,3.1737234677580546e-06,1.3930450534582764e-05
"Coruña, A",0.0008135517992852,1.672617349451219e-06,5.609535232137656e-08,2.168268027288964e-06,1.34081399982857e-08,4.660442073895366e-06,2.496795257218252e-05,3.2289844856318144e-06,4.996481711450488e-07,4.604552013669657e-07,5.615601328436721e-07,1.105034602314856e-06,5.653751442881604e-07,6.417830089641967e-07,5.314092819320565e-07,0.0103380252203688,7.109201119186745e-07,0.0002674558131933,0.0216826774287387,7.614041469584718e-07,8.975726832472821e-07,8.629474625978017e-07,2.3321609759697643e-07,2.299428291827218e-07,7.656375836118381e-07,-0.2634160350604596,3.843652543113034e-07,6.679952454820574e-06,5.771268764587153e-05,0.925857958634374,0.0008112204580519,0.0104007533607116,0.1764970279710543,0.0818146026817245,0.0946824252893297,0.1032997035689297,0.0965514387436362,0.0752623632950025,0.0075159717247168,0.0137453037526285,7.428355524642398e-07,4.805391313802684e-06,1.7015669194086404e-05,1.58180551630282e-05,6.23994247859428e-07,5.779008540337136e-07,1.8269075857163247e-05,1.3429055477761207e-05
