Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,LSI,TE,ED,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
0,Albacete,0.3145505209552964,-0.2581866139104691,0.3273680231038212,-0.1380656474336504,0.7208396624629846,0.870314247861853,-0.2060698061367844,0.6721972845139892,-0.6080875531576648,-0.2681376916288803,0.2231991605074855,0.165700794735136,0.0632786347189589,0.2232064495925249,0.1656949751219165,-0.2440529755590294,0.1762953101437006,0.4770779145424124,-0.1433284640171037,-0.3600597170358186,-0.8477439758262056,-0.8558155805642312,-1.2743003377132482,-1.008247540796018,-1.139709974753793,0.1997418376589114,-0.8791591103368704,-0.5317364438028235,-0.096294045799581,-0.0823202847803835,-0.4656420243175133,-0.2559126382902579,-0.2042619114949143,-0.1985716985692852,-0.209232269082641,-0.1882925250800247,-0.2069699555948518,-0.2250845852476186,-0.2873930821037239,-0.0014858021634972,-1.2081195946081833,-0.1337218342665446,-1.0888962158970408,0.4732350229277819,-0.2979037181625018,-0.2231311575324909,-0.6768231794867678,0.6418135074079073
1,Alcalá de Henares,0.3255264972669102,-0.3182664945802904,0.7057640952574779,-0.1229499093025021,-0.387011763294771,0.3363163558779609,0.0051145133423677,-0.1291983343159062,-0.613390568649906,-0.0799131728801921,0.068805583036587,-0.0230924709141731,0.4726237347233286,0.0688063929453707,-0.0230922899235613,-0.3496754577951311,0.1577651957910212,-0.1145618611206423,-0.1282058223673199,-0.8952328227526317,0.7042108459012193,1.2252587713730818,0.1115854533779059,0.3569568126404098,1.3820570193156445,0.1997428977737399,1.0225645589216776,0.0885874061211949,-0.5613080319633833,-0.2751263154977911,-1.186505435044815,0.202084120951711,-0.1501541346706423,-0.144589005244475,-0.1550240923601821,-0.1922762247956008,-0.2284204204015862,-0.1733082745987308,-0.6828787994994283,-0.4376186554044452,0.7180159451072938,0.3472485457802259,0.2339950860291555,1.775808480020185,-0.1546903297006582,1.5515823840008252,-1.0072768596672028,-1.0602696764389758
2,Alcobendas,0.0748003373465761,-0.2640272425332435,3.60141211674268,-0.1297810785550976,4.344290631193735,3.9944731903604014,-0.0997635434017556,4.131960220046722,-0.613390568649906,-0.0799131728801921,0.068805583036587,-0.0230924709141731,0.4726237347233286,0.0688063929453707,-0.0230922899235613,-0.7321634497364512,0.1587223297968414,-0.0939809851421531,-0.1350401091215685,-0.7630412400124934,-0.6301403185681637,-1.1573705782229855,-2.142105704887781,-2.246082931544112,-1.7521891137906995,0.1996530070184022,-1.0326828577335685,1.5349859424543757,-1.0227750968354885,-0.4953987580694153,-1.6858427646932663,3.6922246910295167,-0.3345319869378003,-0.3412050525555542,-0.3286006097626238,0.2816684601282921,-0.4166441364538005,-0.3642523612477077,-0.7525158195059809,-0.6389360394545865,-0.6287374892888083,0.2760429112170055,-0.3420448476290506,-1.1086386161905226,-0.6115386538498994,5.35858592434991,-0.989753397735968,1.0907565418835654
3,Alcorcón,-0.5825908525213362,-0.212224170390964,1.174509564729264,-0.1376162377030745,0.4060336041407697,1.7249936498395273,-0.1214777946435784,1.024461717535918,0.2816615908465819,-0.3034055299982544,0.2678101964329416,0.2215347486334886,0.149244763853031,0.2678196452417699,0.2215390172516133,-0.7272242689124608,0.1382396620722878,-0.415085003974947,-0.14287885341927,-0.7174102543385921,-0.6025937262190864,-0.0662722328465325,-1.0697385696356871,-0.8806565704535956,-0.4113699207385052,0.1997421574644837,-0.0113298717802947,-1.152563779826691,-0.9825093281132132,-0.6383467640311785,-1.133908768633351,0.3810492411597073,-0.2088093316430664,-0.2097942461351972,-0.2079054189697963,-0.2871838251761625,-0.2687291488299512,-0.2070992526651706,-0.6780274541288702,-0.5461468134338097,1.3408586213837237,-0.1338105169035919,2.7869253682605084,0.1101005475533837,-0.67703695803598,-0.49913473499489,0.1563432202236711,-1.129598926660216
4,Algeciras,-0.2796791815759697,-0.3692642875241125,-0.6789308058987075,-0.1413757846603543,-1.00551307788077,-1.104946227608907,-0.1843552196175676,-1.26693484801198,-0.1718767483700354,1.7166220153814,-2.0234727351139856,-2.077931609580716,-1.83468808532306,-2.023463286848959,-2.0779273414013835,-0.0804629645314803,0.1644459911516474,0.0454051576581458,-0.146640117813094,0.1990350872312477,-0.2673617929405971,-0.3169445738931638,1.5932639167323146,1.2792083231020823,0.4229120202822137,0.1997421492128898,-0.3681557650357,-0.1775516585431448,-0.0248256354934949,-0.2342711955446309,0.400144981608619,-1.451579247851925,-0.3236736235615008,-0.3204271651552516,-0.3264723947301401,-0.3226171774819198,-0.3523376070541087,-0.343323868278307,-0.3346936994666653,-0.3958987401100402,0.0214377903393703,-0.6607861130927192,-0.8335275999495065,-0.9297467359701236,-0.1073887216130844,-0.4853059241051838,-1.3926264503202506,2.230615029056467
5,Alicante/Alacant,1.4536831844357792,-0.4172293183907249,0.6472537271220627,-0.1399514377460684,0.2803960731723562,1.038218214108845,-0.2126561034197357,0.1234994177278134,-0.9443481935413354,-0.1257548256262966,0.0071068962473546,-0.0966771647090572,-0.0005478363661523,0.0071098658546985,-0.0966745122000061,0.0839954738936934,0.1916668822771738,1.7950151212635683,-0.1452151209328172,-0.9096134970256222,-0.8205435186689528,-0.5964046327818002,-0.9626220429566816,-0.6961364945271195,-0.757035542620098,0.1997420713243952,-0.4384895430182604,-0.4648337527233398,0.4214204708235362,0.3919933184402439,-0.7270475007423,-0.8030712316143469,0.1758064325063208,0.1904650046568358,0.1628769333562428,0.2381251582081366,0.3080206598488197,0.1808792228196457,2.09168647367892,0.4726084154444319,0.0267138504804486,-0.5514178472421897,-1.154463159830972,-0.6200984388212913,1.6295991715140106,-0.3983092992878762,0.3440538140761758,0.9410687676957916
6,Almería,-0.1067670587920526,-0.2935886363181275,-0.9856795977571372,-0.1361291342574299,-1.173789498799915,-1.4295811728929924,-0.1723843673859812,-1.3426392243396708,-0.3387534411948577,-0.3088517798298545,0.2935885332264255,0.2540593308184961,0.3343622064046448,0.2935807043357438,0.2540571881444793,0.4150291425257511,0.1619383000563964,-0.019380345645163,-0.1413910663064584,-0.7784359361893366,-0.0368069105885873,0.2102944412031649,1.8266329695093144,1.7007057120781688,0.7767462534356777,0.1997424885315366,0.1502078103882546,-0.1814850966610233,0.5747298285338145,0.0371936516607491,1.1606181751263511,-1.0872344869983697,-0.1413947597951035,-0.1322964586866912,-0.1493751265332194,-0.1221415346385924,-0.1250065481227795,-0.1889623910330974,0.4310103115197535,0.145990339851297,0.0953622306579637,-0.1817716472682276,0.651720440009361,-1.4449757588968604,0.1813876537895521,0.1410845268608301,0.3316655647362147,0.6606797223476069
7,Ávila,-0.1067670587920526,-0.2935886363181275,-0.9856795977571372,-0.1361291342574299,-1.173789498799915,-1.4295811728929924,-0.1723843673859812,-1.3426392243396708,0.419581208791167,-0.5113190794584824,0.6629858795030416,0.7437879659929787,0.6162611282866604,0.6629737312736219,0.743790921547522,-0.6074355647526065,0.0425262614902628,-0.8857755644551063,-0.1101468338883344,-0.4473577845776043,-0.4031044773330043,-0.3768873244454133,0.0454826879658963,-0.0654920377103405,-0.307761922667884,0.1997421406336891,-0.4106465672248208,-0.3454371794203648,-0.7865093412190667,-0.5868942808199299,-0.5087959305335942,0.1802747514639982,-0.474421067396936,-0.4843858478865018,-0.4655683253717254,-0.5094465298101888,-0.450053621727966,-0.4594300885335009,-0.4553709155592978,-0.3252849645610641,-1.1592889968230993,-0.1004994017590223,1.1131034989033035,-0.7110329914619756,0.941748112864062,-0.6277243612559036,-0.350651604630539,0.3653433520476124
8,Badajoz,1.2506807698248978,-0.3125524403270849,0.3496477718244243,-0.1294308319755028,-0.6127414769092221,0.28977892937376,-0.1648634573285827,-0.6913412109280637,-0.905229867797241,3.620419316793035,-3.473054959401249,-3.1417852443293968,-3.030722672696436,-3.4730519906198736,-3.141790856181777,0.1423972163839531,0.1815786898558294,0.7787988913341335,-0.134689705246281,-1.662386484930796,-0.1655115127473065,-0.1605556620428033,0.3413489007687955,0.5085087519347843,-0.1007959860554068,0.1997423713916634,-0.0229512877636418,-0.8213124477473532,0.1404225398467407,0.2712545921589108,-0.783014832604051,-0.7395674792824772,-0.2586632205623561,-0.2585115490720983,-0.2587504904557378,-0.2215105704839868,-0.2627172360814219,-0.2640333790416885,-0.2881005699702636,-0.2125284367383478,0.2312584316722452,-0.6825481747700433,-1.1535566576275278,-1.5089460327826143,-0.8162638667212697,-0.4139584757360327,-1.4077265389152516,2.810016958854251
9,Badalona,-0.6986659000658696,-0.1138132259002271,-1.0081486391601582,-0.1472896446260925,-0.910359029482924,-1.0943266131004907,-0.2910565148306001,-0.7949716815884917,0.5529551395570081,-0.4973132696889953,0.6451725650029859,0.7191086944953957,0.5702640800987347,0.6451798541881723,0.7191064744378085,-0.1868453207405036,0.1552766473758893,-0.1641494031016443,-0.1525566823073965,0.1046388663624116,1.951278252833112,2.2605644737440485,1.2944118119690442,1.688352571897116,2.4423927743086127,0.1997438650530178,2.411565881764853,1.1918010866945368,0.1566327876835432,-0.3353410241261057,1.8910482272476967,-0.2507810219402078,-0.0905065191617875,-0.0751286520837508,-0.1040213753162788,-0.1834072917731094,-0.1588945936157334,-0.1154416617629804,-0.5874690072117859,-0.2927734990388476,0.1791602510805522,0.0462859404203715,-0.3248274300030859,-0.008310326243015,-0.8071180932486003,-0.3389324304136619,0.9929709331351388,-0.4222980837494168
