Ciudades,Outliers_Count
Albacete,0
Alcalá de Henares,1
Alcobendas,7
Alcorcón,1
Algeciras,5
Alicante/Alacant,2
Almería,0
Ávila,0
Badajoz,7
Badalona,5
Barcelona,16
Burgos,2
Cáceres,5
Cádiz,1
Cartagena,2
Castelló de la Plana,0
Ceuta,3
Ciudad Real,1
Córdoba,5
"Coruña, A",1
Cuenca,0
Dos Hermanas,1
Elche/Elx,1
Fuenlabrada,1
Getafe,0
Gijón,0
Girona,0
Granada,0
Guadalajara,1
"Hospitalet de Llobregat, L'",1
Huelva,1
Huesca,0
Jaén,0
Jerez de la Frontera,2
"Palmas de Gran Canaria, Las",0
Leganés,6
León,0
Lleida,0
Logroño,0
Lugo,4
Madrid,15
Málaga,9
Marbella,7
Mataró,6
Melilla,4
Móstoles,0
Murcia,8
Ourense,6
Oviedo,0
Palencia,0
Palma de Mallorca,6
Parla,9
Pontevedra,1
Sabadell,5
Salamanca,0
San Cristóbal de La Laguna,1
Santa Coloma de Gramenet,5
Santa Cruz de Tenerife,0
Santander,0
Segovia,1
Sevilla,12
Soria,0
Tarragona,1
Terrassa,5
Teruel,0
Toledo,7
Torrejón de Ardoz,14
Valencia,9
Valladolid,1
Vigo,1
Zamora,2
Zaragoza,9
