Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,T_viv_col,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
Albacete,0.31952319,0.031990952,0.251946254,0.002197109,0.370985823,0.468319823,0.015385011,0.42481999,0.154975517,0.063931506,0.859872777,0.782963522,0.765617099,0.859874645,0.782961169,0.086461641,0.997424546,0.377355295,0.00219711,0.365512463,0.188448428,0.188885812,0.171485295,0.267461821,0.108184508,0.999999648,0.223041196,0.295341197,0.306947416,0.04186643,0.044205694,0.039826254,0.048447344,0.042465692,0.038064335,0.086967177,0.090573646,0.034026465,0.084642073,0.08275019,0.25083256,0.499151855,0.087888571,0.093177755,0.255880539,0.505539257
Alcalá de Henares,0.321929375,0.024754082,0.319111762,0.003960676,0.178667985,0.377442215,0.039874562,0.291589261,0.153888634,0.091152531,0.833999751,0.747633631,0.837516797,0.834000476,0.747632414,0.070198897,0.995262326,0.247354135,0.003960676,0.263677665,0.43729563,0.540993334,0.445347435,0.562444535,0.553613757,0.999999788,0.548477579,0.438486778,0.387343768,0.048907834,0.05126473,0.046852279,0.047926112,0.039620673,0.044859953,0.018468271,0.029407114,0.049149338,0.595056934,0.144583688,0.506537594,0.77792094,0.10887613,0.381502959,0.184878704,0.117377659
Alcobendas,0.266964459,0.031287424,0.833090857,0.003163677,1,1,0.027712596,1,0.153888634,0.091152531,0.833999751,0.747633631,0.837516797,0.834000476,0.747632414,0.011307037,0.99537401,0.251876377,0.003163678,0.288831588,0.223339947,0.137864193,0,0,0,0.999987908,0.196769128,0.772256888,1,0.024913521,0.025554271,0.024354694,0.109937583,0.014656178,0.019798625,0.006407002,0.001172858,0.009451796,0.238175005,0.1354295,0.395193366,0.160608592,0.041926167,1,0.188643824,0.607921119
Alcorcón,0.122849257,0.037527318,0.402314337,0.002249542,0.31633696,0.613772121,0.025194548,0.483383384,0.337334645,0.058831072,0.867348623,0.793412028,0.780716678,0.867350868,0.793411559,0.012067525,0.992983953,0.181320108,0.002249542,0.297514428,0.227756888,0.322472655,0.21190834,0.295030683,0.236833969,0.99999969,0.371550263,0.152079432,0.418759149,0.041274644,0.04273818,0.039998229,0.035508292,0.034274444,0.040424902,0.019308534,0.014186313,0,0.760106668,0.082738789,1,0.421435957,0.032327557,0.048337398,0.434896078,0.101567062
Algeciras,0.189254432,0.018611187,0.073327666,0.001810912,0.071299044,0.132163162,0.017903098,0.1024424,0.244379393,0.35096741,0.483379128,0.363100614,0.432247449,0.48338054,0.363100303,0.111649674,0.996041886,0.282503729,0.001810912,0.471899174,0.281509437,0.28006013,0.738138974,0.761717452,0.384196346,0.999999689,0.310487697,0.377072678,0.097061142,0.026326592,0.028271288,0.024630536,0.030872151,0.023185284,0.022545481,0.078774617,0.035258226,0.013232514,0.410467722,0.014990866,0.300193411,0.198893977,0.11580806,0.050584068,0.10208184,0.86786687
Alicante/Alacant,0.569247154,0.012833601,0.30872614,0.001977092,0.294526871,0.496894301,0.014621244,0.333599855,0.086056994,0.084522913,0.823660385,0.733863334,0.754406255,0.823661449,0.733862585,0.136971419,0.999218206,0.666945974,0.001977092,0.260941255,0.192809868,0.232776866,0.233075424,0.334900343,0.175777742,0.999999679,0.298451684,0.310779624,0.210899673,0.091327244,0.095078003,0.08805604,0.104240327,0.110769947,0.091346908,0.499028446,0.157064165,0.071833648,0.411865847,0.029051238,0.238158958,0.265163078,0.370359229,0.064717797,0.475227893,0.573784688
Almería,0.227160729,0.027726632,0.018879589,0.002423044,0.042087043,0.076915664,0.019291273,0.08985667,0.210177069,0.058043435,0.871668515,0.799498527,0.813231757,0.871667874,0.799496856,0.187940832,0.995749272,0.268268394,0.002423044,0.285902226,0.318477612,0.369266373,0.784254569,0.852791322,0.446695426,0.999999734,0.399193732,0.376165,0.161017903,0.050047749,0.052872163,0.047584452,0.057102616,0.053336666,0.042805357,0.211396061,0.111256803,0.026465028,0.430057274,0.076572912,0.587280793,0.088627701,0.158127506,0.152349311,0.472566133,0.509841714
Ávila,0.227160729,0.027726632,0.018879589,0.002423044,0.042087043,0.076915664,0.019291273,0.08985667,0.365602052,0.028762619,0.933571526,0.891144061,0.862746084,0.933570296,0.89114331,0.030511449,0.981815461,0.077895151,0.006066672,0.348901051,0.259743864,0.269918112,0.432284999,0.471165081,0.255134642,0.999999688,0.303216371,0.33833151,0.38351537,0.006708827,0.006831263,0.006602046,0.006427182,0.01022501,0.00730659,0.057873085,0.04516163,0.034026465,0.097581901,0.087021262,0.676462701,0.245701802,0.269556402,0.027446348,0.325962315,0.44248999
Badajoz,0.524744377,0.025442364,0.255900922,0.003204541,0.139482361,0.369522315,0.020163419,0.198133914,0.094074516,0.626294534,0.24046048,0.164016005,0.222169143,0.240460278,0.164013917,0.145963563,0.998041046,0.443652522,0.003204541,0.117700714,0.297840555,0.306520363,0.490750533,0.595190697,0.291691818,0.999999719,0.369561525,0.228518802,0.222047067,0.034786827,0.036367671,0.033408102,0.044101056,0.035071816,0.032952323,0.086844639,0.060975449,0.030245747,0.466068987,0.012193138,0.238334178,0.074937161,0.011924207,0.062175385,0.09883741,1
Badalona,0.097402949,0.049381323,0.014891322,0.001120937,0.087817343,0.133970445,0.005529703,0.180905515,0.392937794,0.030788139,0.930586399,0.886525697,0.854666901,0.93058842,0.886523979,0.095269931,0.994971945,0.236458252,0.001120937,0.453937098,0.637255854,0.716161956,0.679083403,0.850122151,0.740904875,0.999999916,0.786173294,0.693063744,0.307848215,0.056670173,0.0603477,0.053462839,0.049086534,0.048842025,0.052454921,0.034993435,0.049721281,0.032136106,0.452263268,0.105891969,0.398521364,0.39609436,0.013264496,0.074364338,0.614655321,0.262867654
Barcelona,1,0.005314189,0.074947165,0.003488569,0.253709199,0.217778951,0.022831848,0.314665092,0.043040992,0.126830753,0.778093051,0.675358801,0.810717488,0.778092208,0.675357214,0.552540532,0.999484016,0.752128065,0.00348857,0.508165377,0.441490567,0.444874102,0.404664626,0.429033993,0.380824782,0.999999777,0.512166524,0.916669033,0.782231731,0.49354159,0.503328752,0.485005772,0.473700978,0.523977367,0.513159435,0.67516849,0.572750155,0.775047259,0.682827542,0.051610786,0.471763719,0.198715648,0.323000697,0.558431009,0.974187021,0.141966944
Burgos,0.35107913,0.019159755,0.484687003,0.005132374,0.347527201,0.520401756,0.044082386,0.401958152,0.141715051,0.246191071,0.609753343,0.485114552,0.547406532,0.609751772,0.485113782,0.049406652,0.994348743,0.215887962,0.005132375,0.408602151,0.263323667,0.318175525,0.299448928,0.297412036,0.220196994,0.999999716,0.356547715,0.143832614,0.519986488,0.042497628,0.04341239,0.041699823,0.039628242,0.048343502,0.04425719,0.117164114,0.084155872,0.115311909,0.243604768,0.102370626,0.334848582,1,0.021832177,0.003695711,0.206428266,0.110967144
Cáceres,0.175060022,0.151057332,0.156295044,0.016253702,0.134619189,0.229337709,0.068252666,0.21094511,0.259951245,0.036315775,0.914187024,0.861522049,0.827462516,0.914189371,0.861520545,0.066647167,0.966887654,0.043686283,0.016253702,0.337271308,0.254674788,0.312207014,0.499927637,0.630253109,0.282916918,0.999999702,0.358830622,0.219665707,0.339150997,0.018194689,0.018753596,0.017707242,0.022640317,0.02068738,0.018228228,0.101339168,0.039014008,0.026465028,0.079819501,0.06510023,0.539479476,0.473218743,0.206783931,0.061231202,0.237063179,0.418330676
Cádiz,0.017059392,0.052944686,0.093856994,0.000389437,0.219502143,0.23390001,0.003121815,0.257604427,0.791231867,0.137108434,0.738637844,0.627363904,0.66756901,0.738636191,0.627361692,0.013036938,0.992847698,0.178425127,0.000389437,0.619446052,0.200098976,0.20158435,0.336899527,0.422181181,0.165294975,0.999999603,0.166772318,0.338001193,0.359644184,0.024010684,0.024269627,0.023784848,0.021034277,0.026567174,0.025814782,0.090083151,0.036496976,0.024574669,0.360369798,0.126581281,0.440119364,0.372803545,0.240670462,0.24932704,0.948371048,0
