Ciudades,Outliers_Count
Albacete,0
Alcalá de Henares,1
Alcobendas,6
Alcorcón,2
Algeciras,0
Alicante/Alacant,0
Almería,0
Ávila,2
Badajoz,0
Badalona,0
Barcelona,0
Burgos,0
Cáceres,2
Cádiz,6
Cartagena,0
Castelló de la Plana,0
Ceuta,8
Ciudad Real,1
Córdoba,0
"Coruña, A",1
Cuenca,4
Dos Hermanas,0
Elche/Elx,0
Fuenlabrada,0
Getafe,0
Gijón,0
Girona,1
Granada,0
Guadalajara,1
"Hospitalet de Llobregat, L'",5
Huelva,1
Huesca,8
Jaén,0
Jerez de la Frontera,0
"Palmas de Gran Canaria, Las",0
Leganés,3
León,1
Lleida,0
Logroño,0
Lugo,0
Madrid,1
Málaga,1
Marbella,0
Mataró,1
Melilla,5
Móstoles,1
Murcia,2
Ourense,0
Oviedo,0
Palencia,0
Palma de Mallorca,0
Parla,7
Pontevedra,0
Sabadell,1
Salamanca,1
San Cristóbal de La Laguna,1
Santa Coloma de Gramenet,6
Santa Cruz de Tenerife,1
Santander,0
Segovia,2
Sevilla,1
Soria,23
Tarragona,1
Terrassa,0
Teruel,1
Toledo,4
Torrejón de Ardoz,5
Valencia,2
Valladolid,0
Vigo,0
Zamora,3
Zaragoza,0
