,Ciudades_x,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MN,FRAC_MD,SQUARE_MN,SQUARE_MD,Ciudad,Ciudades_y,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD
0,Albacete.txt,1.036782,1.239875,1.196013,0.251356,0.242674,1.071821,1.06197,0.523948,0.500157,Albacete,Albacete.txt,1605.293355,2.929497,0.116461,2.976411,0.03152,8.380829,36.057566,5.710261
1,Alcala.txt,1.025171,1.293679,1.267219,0.325155,0.328765,1.095561,1.092224,0.575723,0.578704,Alcala,Alcala.txt,1615.304126,2.451039,0.136451,4.559123,0.019854,7.591469,55.583827,4.874116
2,Alcobendas.txt,1.028039,1.247419,1.185695,0.205145,0.164615,1.066683,1.054622,-3.814456,0.493816,Alcobendas,Alcobendas.txt,1386.626321,2.882984,0.289423,3.843857,0.069676,12.998986,45.886723,9.320043
3,Alcorcon.txt,1.029029,1.248374,1.223028,0.262249,0.25072,1.068275,1.070708,0.539567,0.536001,Alcorcón,Alcorcon.txt,787.044792,3.295528,0.161214,3.023467,0.028205,9.644223,43.879007,6.0778
4,Algeciras.txt,1.048912,1.259996,1.214451,0.404055,0.386923,1.091095,1.080717,0.539164,0.521263,Algeciras,Algeciras.txt,1063.319019,2.044908,0.0633,2.629819,0.013341,5.460983,38.065313,3.687046
5,Alicante.txt,1.024859,1.240818,1.204889,0.267953,0.262356,1.073578,1.066561,0.53536,0.518358,Alicante,Alicante.txt,2644.25298,1.662929,0.13336,2.778957,0.026882,8.629026,35.448592,5.137771
6,Almeria.txt,1.027705,1.267989,1.232491,0.416482,0.413503,1.097109,1.084962,0.555736,0.542673,Almeria,Almeria.txt,1221.025597,2.647566,0.047095,3.179176,0.011569,4.981105,39.172147,3.608059
7,Avila.txt,1.045991,1.264132,1.212057,0.384285,0.276697,1.081501,1.070384,0.342278,0.521552,Avila,Avila.txt,1203.337042,4.761313,0.141719,7.868694,0.025842,8.327498,60.263375,5.168445
8,Badajoz.txt,1.008527,1.263527,1.219802,0.33739,0.338322,1.087256,1.074434,0.550015,0.535521,Badajoz,Badajoz.txt,2459.10219,2.496544,0.117638,3.88053,0.017477,7.522677,39.867536,4.287598
9,Badalona.txt,1.046864,1.336913,1.302643,0.388141,0.412724,1.108151,1.104945,0.622964,0.636074,Badalona,Badalona.txt,681.177151,4.079243,0.045908,2.010601,0.014343,5.476681,28.199631,4.179474
10,Barcelona.txt,1.053047,1.294586,1.247781,0.314192,0.289829,1.093063,1.080488,0.571572,0.56994,Barcelona,Barcelona.txt,4436.370992,1.165791,0.063782,4.135431,0.024406,6.204639,41.995155,5.018938
11,Burgos.txt,1.041695,1.256064,1.222159,0.285839,0.251415,1.078412,1.069578,0.548882,0.53238,Burgos,Burgos.txt,1736.579705,2.081176,0.18573,5.610663,0.030097,8.833211,58.938853,5.566782
12,Caceres.txt,1.033562,1.254194,1.220952,0.339863,0.348555,1.084645,1.073838,0.543867,0.532931,Caceres,Caceres.txt,1004.264138,10.801445,0.087993,15.591491,0.017182,6.305038,78.210549,4.368
13,Cadiz.txt,1.065735,1.242394,1.198581,0.295931,0.287829,1.076832,1.065849,0.507219,0.486576,Cadiz,Cadiz.txt,346.91323,4.314831,0.06941,1.354117,0.022331,6.344666,26.279749,4.66083
